127.0.0.1 - - [22/Jun/2024:14:35:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:10 +0900] "GET /recycle/WEB-INF/views/list.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/list HTTP/1.1" 200 25750
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/resources/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/list HTTP/1.1" 200 25750
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/trash HTTP/1.1" 200 48766
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/lamp HTTP/1.1" 200 76578
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/medicine HTTP/1.1" 200 96470
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/battery HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:19 +0900] "GET /recycle/clothes HTTP/1.1" 200 897437
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:20 +0900] "GET /recycle/resources/images/mapgreen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:20 +0900] "GET /recycle/resources/images/mapyellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:20 +0900] "GET /recycle/resources/images/blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:35:21 +0900] "GET /recycle/resources/images/clothesM2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:14:39:20 +0900] "GET /recycle/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/list HTTP/1.1" 200 25798
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/css/main.css HTTP/1.1" 200 55668
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/jquery.dropotron.min.js HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/breakpoints.min.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/main.js HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/js/browser.min.js HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/css/images/bg01.png HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:00 +0900] "GET /recycle/list HTTP/1.1" 200 25798
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:01 +0900] "GET /recycle/trash HTTP/1.1" 200 48766
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:01 +0900] "GET /recycle/lamp HTTP/1.1" 200 76578
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:01 +0900] "GET /recycle/clothes HTTP/1.1" 200 897437
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:01 +0900] "GET /recycle/medicine HTTP/1.1" 200 96470
0:0:0:0:0:0:0:1 - - [22/Jun/2024:15:04:01 +0900] "GET /recycle/battery HTTP/1.1" 200 164051
